Prefecture,JCODE,Municipality,AveragePricePerSQM
Tokyo,13101,Chiyoda Ward,2741974
Tokyo,13102,Chuo Ward,2066444
Tokyo,13103,Minato Ward,2054476
Tokyo,13113,Shibuya Ward,1791247
Tokyo,13106,Taito Ward,1202010
Tokyo,13104,Shinjuku Ward,1139316
Tokyo,13109,Shinagawa Ward,1080630
Tokyo,13110,Meguro Ward,1057853
Tokyo,13105,Bunkyo Ward,1031159
Tokyo,13116,Toshima Ward,917753
Tokyo,13107,Sumida Ward,838689
Kanagawa Prefecture,14103,"Nishi Ward,Yokohama City",830847
Tokyo,13108,Koto Ward,779139
Tokyo,13114,Nakano Ward,739127
Tokyo,13112,Setagaya Ward,736644
Tokyo,13115,Suginami Ward,675098
Tokyo,13111,Ota Ward,673667
Tokyo,13203,Musashino City,659116
Kanagawa Prefecture,14104,"Naka Ward,Yokohama City",651632
Tokyo,13117,Kita Ward,644378
Kanagawa Prefecture,14133,"Nakahara Ward,Kawasaki City",644191
Tokyo,13118,Arakawa Ward,617785
Saitama Prefecture,11103,"Omiya Ward,Saitama City",571624
Tokyo,13119,Itabashi Ward,545319
Kanagawa Prefecture,14132,"Saiwai Ward,Kawasaki City",525498
Tokyo,13204,Mitaka City,518575
Tokyo,13120,Nerima Ward,506694
Kanagawa Prefecture,14134,"Takatsu Ward,Kawasaki City",493326
Saitama Prefecture,11107,"Urawa Ward,Saitama City",485910
Kanagawa Prefecture,14131,"Kawasaki Ward,Kawasaki City",479810
Chiba Prefecture,12227,Urayasu City,474544
Tokyo,13123,Edogawa Ward,464112
Tokyo,13210,Koganei City,459637
Tokyo,13208,Chofu City,456721
Tokyo,13219,Komae City,454202
Kanagawa Prefecture,14109,"Kohoku Ward,Yokohama City",449074
Kanagawa Prefecture,14102,"Kanagawa Ward,Yokohama City",448357
Tokyo,13215,Kunitachi City,446221
Tokyo,13206,Fuchu City,432984
Tokyo,13122,Katsushika Ward,421607
Kanagawa Prefecture,14101,"Tsurumi Ward,Yokohama City",412285
Tokyo,13214,Kokubunji City,403485
Kanagawa Prefecture,14118,"Tsuzuki Ward,Yokohama City",401881
Tokyo,13229,Nishitokyo City,398466
Kanagawa Prefecture,14136,"Miyamae Ward,Kawasaki City",395106
Saitama Prefecture,11223,Warabi City,386185
